pair,layer,r2
atomic mass - atomic number,53,0.7801117601795537
atomic mass - atomic number,54,0.7458579375293258
atomic mass - atomic number,55,0.7231128579495127
atomic mass - atomic number,56,0.6882603355669566
atomic mass - atomic number,57,0.8283237650892248
atomic mass - atomic number,58,0.8537537823378436
atomic mass - atomic number,59,0.7974345715350474
atomic mass - atomic number,60,0.7804003121241292
atomic mass - atomic number,61,0.782306255303759
atomic mass - atomic number,62,0.7359503911727908
atomic mass - atomic number,63,0.7924777899108246
atomic mass - atomic number,64,0.7531924150938896
atomic mass - atomic number,65,0.7333243687056946
atomic mass - atomic number,66,0.6704531087101188
atomic mass - atomic number,67,0.6612294439100789
atomic mass - atomic number,68,0.5940916920035697
atomic mass - atomic number,69,0.6225951898858555
atomic mass - atomic number,70,0.6098217030457243
atomic mass - atomic number,71,0.45534923331353383
atomic mass - atomic number,72,0.27045264096308574
atomic mass - atomic number,73,0.21508636103513057
atomic mass - atomic number,74,0.11356489889278917
atomic mass - atomic number,75,0.12937479002107016
atomic mass - atomic number,76,0.12281735194952219
atomic mass - atomic number,77,0.1234290102552645
atomic mass - atomic number,78,0.0963859922993168
atomic mass - atomic number,79,-0.01862897953754775
